dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
real_world,input/real_world/B35k_L60_D120.txt,78,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,78,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,89,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,89,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,89,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,89,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,89,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,89,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,100,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,100,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,100,60,12864753.0,1.0
